0.3499999, 0, 0, 5.32819, 1.156592, 0, 603.9559, -590.0169, -1.584829, 0.01663505, 0.1455349, 33.10689, 1.763332, 1.518597, 10.96781
 
0.3599999, -0.4583703, 0, 5.45419, 1.15681, 1.9265270060650038887890460344, 640.7604, -590.1016, -1.584829, 0.01663505, 0.1455349, 34.10121, 1.763332, 1.518387, 10.97352
 
0.3699999, -0.4691114, -0.004583702, 5.580295, 1.156908, 1.8700301634576743386029539656, 678.7128, -590.1863, -1.584829, 0.01663505, 0.1455349, 35.09711, 1.763332, 1.518177, 10.97922
 
0.3799999, -0.4796085, -0.009274816, 5.706607, 1.157004, 1.8162564484604149852890460344, 717.8134, -590.2711, -1.584829, 0.01663505, 0.1455349, 36.09448, 1.763332, 1.517967, 10.98492
 
0.3899999, -0.4898405, -0.0140709, 5.833364, 1.157343, 1.76495592899010797632, 758.0645, -590.356, -1.584829, 0.01663505, 0.1455349, 37.09325, 1.763332, 1.517756, 10.99063
 
0.3999999, -0.4997848, -0.01896931, 5.960076, 1.15744, 1.71590131489441997684, 799.4689, -590.441, -1.584829, 0.01663505, 0.1455349, 38.09339, 1.763332, 1.517546, 10.99633
 
0.4099999, -0.5094248, -0.02396715, 6.087381, 1.1579, 1.6688905704824364027269539656, 842.0426, -590.526, -1.584829, 0.01663505, 0.1455349, 39.09517, 1.763332, 1.517336, 11.00203
 
0.4199999, -0.5187315, -0.0290614, 6.214907, 1.15836, 1.6237260142806848188989539656, 885.787, -590.6111, -1.584829, 0.01663505, 0.1455349, 40.0985, 1.763332, 1.517125, 11.00774
 
0.4299999, -0.5276797, -0.03424872, 6.342893, 1.159063, 1.5802465402425081540610460344, 930.7062, -590.6964, -1.584829, 0.01663505, 0.1455349, 41.10337, 1.763332, 1.516915, 11.01344
 
0.4399998, -0.5362415, -0.03952551, 6.47096, 1.159645, 1.538302363286741742756, 976.8002, -590.7816, -1.584829, 0.01663505, 0.1455349, 42.10966, 1.763332, 1.516705, 11.01914
 
0.4499998, -0.5443927, -0.04488793, 6.599232, 1.160227, 1.497760244358555078176, 1024.073, -590.8669, -1.584829, 0.01663505, 0.1455349, 43.11739, 1.763332, 1.516495, 11.02485
 
0.4599998, -0.5521047, -0.05033185, 6.727701, 1.160809, 1.458499136212096747472, 1072.528, -590.9523, -1.584829, 0.01663505, 0.1455349, 44.12651, 1.763332, 1.516284, 11.03055
 
0.4699998, -0.5593493, -0.0558529, 6.856363, 1.161392, 1.42040670003646059492, 1122.167, -591.0378, -1.584829, 0.01663505, 0.1455349, 45.13695, 1.763332, 1.516074, 11.03625
 
0.4799998, -0.5660979, -0.06144639, 6.98521, 1.161974, 1.383381047142685223468, 1172.991, -591.1234, -1.584829, 0.01663505, 0.1455349, 46.14871, 1.763332, 1.515864, 11.04196
 
0.4899998, -0.5723211, -0.06710737, 7.114242, 1.162556, 1.347330738963753994736, 1225.005, -591.2089, -1.584829, 0.01663505, 0.1455349, 47.16175, 1.763332, 1.515654, 11.04766
 
0.4999998, -0.5779895, -0.07283058, 7.243452, 1.163139, 1.312170432837118046236, 1278.208, -591.2947, -1.584829, 0.01663505, 0.1455349, 48.17602, 1.763332, 1.515443, 11.05337
 
0.5099998, -0.5830716, -0.07861047, 7.372835, 1.163722, 1.277821752848191687928, 1332.605, -591.3804, -1.584829, 0.01663505, 0.1455349, 49.19151, 1.763332, 1.515233, 11.05907
 
0.5199998, -0.5875387, -0.08444119, 7.502394, 1.164305, 1.244213289830352402220, 1388.199, -591.4662, -1.584829, 0.01663505, 0.1455349, 50.20819, 1.763332, 1.515023, 11.06477
 
0.5299998, -0.5913585, -0.09031658, 7.632122, 1.164888, 1.211280601364940843968, 1444.992, -591.5522, -1.584829, 0.01663505, 0.1455349, 51.22607, 1.763332, 1.514812, 11.07048
 
0.5399998, -0.5944993, -0.09623016, 7.762014, 1.165471, 1.178962728407279254252, 1502.985, -591.6381, -1.584829, 0.01663505, 0.1455349, 52.24509, 1.763332, 1.514602, 11.07618
 
0.5499998, -0.5969303, -0.1021752, 7.892072, 1.166055, 1.147204807817157650044, 1562.181, -591.7242, -1.584829, 0.01663505, 0.1455349, 53.26525, 1.763332, 1.514392, 11.08188
 
0.5599998, -0.5986204, -0.1081445, 8.022293, 1.166638, 1.115958072358833824208, 1622.585, -591.8104, -1.584829, 0.01663505, 0.1455349, 54.28655, 1.763332, 1.514181, 11.08759
 
0.5699998, -0.5995368, -0.1141307, 8.152676, 1.167222, 1.085173754796565569608, 1684.198, -591.8965, -1.584829, 0.01663505, 0.1455349, 55.30896, 1.763332, 1.513971, 11.09329
 
0.5799997, -0.5996482, -0.120126, 8.283216, 1.167806, 1.054811796329564644668, 1747.022, -591.9828, -1.584829, 0.01663505, 0.1455349, 56.33247, 1.763332, 1.513761, 11.09899
 
0.5899997, -0.5989223, -0.1261225, 8.413906, 1.16839, 1.024833879844033600924, 1811.058, -592.0692, -1.584829, 0.01663505, 0.1455349, 57.35703, 1.763332, 1.513551, 11.1047
 
0.5999997, -0.5973303, -0.1321117, 8.544754, 1.168974, 0.995204300756661179580, 1876.311, -592.1556, -1.584829, 0.01663505, 0.1455349, 58.38268, 1.763332, 1.51334, 11.1104
 
0.6099997, -0.5948385, -0.1380851, 8.675753, 1.169559, 0.965890837858117708064, 1942.783, -592.2421, -1.584829, 0.01663505, 0.1455349, 59.40937, 1.763332, 1.51313, 11.11611
 
0.6199997, -0.5914177, -0.1440334, 8.8069, 1.170143, 0.936866495000045893140, 2010.474, -592.3287, -1.584829, 0.01663505, 0.1455349, 60.43709, 1.763332, 1.51292, 11.12181
 
0.6299997, -0.5870395, -0.1499476, 8.938193, 1.170728, 0.908106017721079234684, 2079.388, -592.4153, -1.584829, 0.01663505, 0.1455349, 61.46583, 1.763332, 1.512709, 11.12751
 
0.6399997, -0.5816751, -0.155818, 9.06951, 1.17119, 0.879583280716355836016, 2149.528, -592.502, -1.584829, 0.01663505, 0.1455349, 62.49559, 1.763332, 1.512499, 11.13322
 
0.6499997, -0.5752923, -0.1616348, 9.20122, 1.171897, 0.8512804316942200677380, 2220.897, -592.5888, -1.584829, 0.01663505, 0.1455349, 63.52638, 1.763332, 1.512289, 11.13892
 
0.6599997, -0.5678688, -0.1673877, 9.332949, 1.172482, 0.8231777895916759676844, 2293.496, -592.6756, -1.584829, 0.01663505, 0.1455349, 64.55817, 1.763332, 1.512079, 11.14462
 
0.6699997, -0.5593769, -0.1730664, 9.464821, 1.173067, 0.7952600275632045564696, 2367.326, -592.7626, -1.584829, 0.01663505, 0.1455349, 65.59092, 1.763332, 1.511868, 11.15033
 
0.6799996, -0.5497943, -0.1786601, 9.596833, 1.173653, 0.7675153892216179805876, 2442.393, -592.8495, -1.584829, 0.01663505, 0.1455349, 66.62468, 1.763332, 1.511658, 11.15603
 
0.6899996, -0.539095, -0.1841581, 9.728982, 1.174238, 0.7399294185648935280522953966, 2518.695, -592.9366, -1.584829, 0.01663505, 0.1455349, 67.65939, 1.763332, 1.511448, 11.16173
 
0.6999996, -0.5272609, -0.189549, 9.861267, 1.174824, 0.7124958455198617311300, 2596.236, -593.0238, -1.584829, 0.01663505, 0.1455349, 68.69505, 1.763332, 1.511238, 11.16744
 
0.7099996, -0.5142709, -0.1948217, 9.99369, 1.17541, 0.6852050037237263005796, 2675.019, -593.111, -1.584829, 0.01663505, 0.1455349, 69.73168, 1.763332, 1.511027, 11.17314
 
0.7199996, -0.5001081, -0.1999644, 10.12625, 1.175996, 0.6580520164529112740005046034, 2755.044, -593.1983, -1.584829, 0.01663505, 0.1455349, 70.76924, 1.763332, 1.510817, 11.17885
 
0.7299996, -0.4847587, -0.2049654, 10.25893, 1.176582, 0.6310345324299816932220, 2836.313, -593.2857, -1.584829, 0.01663505, 0.1455349, 71.80771, 1.763332, 1.510607, 11.18455
 
0.7399996, -0.4682099, -0.209813, 10.39175, 1.177168, 0.6041501132931478353568, 2918.829, -593.3731, -1.584829, 0.01663505, 0.1455349, 72.84709, 1.763332, 1.510396, 11.19025
 
0.7499996, -0.4504518, -0.2144951, 10.5247, 1.177754, 0.5773981494519637936592, 3002.596, -593.4606, -1.584829, 0.01663505, 0.1455349, 73.88741, 1.763332, 1.510186, 11.19596
 
0.7599996, -0.4314775, -0.2189996, 10.65777, 1.178341, 0.5507805567621194405524, 3087.613, -593.5482, -1.584829, 0.01663505, 0.1455349, 74.92862, 1.763332, 1.509976, 11.20166
 
