1.179999, 0, 0, 14.54118, 1.29094, 0, 7190.284, -544.5872, -1.610494, 0.01663505, 0.1455349, 114.5358, 1.702331, 1.470367, 12.03971
 
1.189999, -1, 0, 14.66133, 1.292134, 0.59343193232479666009071, 7318.529, -544.6691, -1.610494, 0.01663505, 0.1455349, 115.5586, 1.702331, 1.470144, 12.0455
 
1.199999, -1, -0.01, 14.78161, 1.293329, 0.58646374612673867535204, 7448.023, -544.7512, -1.610494, 0.01663505, 0.1455349, 116.5826, 1.702331, 1.46992, 12.0513
 
1.209999, -1, -0.02, 14.90195, 1.294457, 0.5787595516947843055638951532, 7578.771, -544.8334, -1.610494, 0.01663505, 0.1455349, 117.6076, 1.702331, 1.469697, 12.0571
 
1.219999, -1, -0.03, 15.02249, 1.295653, 0.5703278011985292504513848468, 7710.778, -544.9156, -1.610494, 0.01663505, 0.1455349, 118.6337, 1.702331, 1.469473, 12.06289
 
1.229999, -1, -0.04, 15.14322, 1.296917, 0.56117703049242509354238, 7844.048, -544.9979, -1.610494, 0.01663505, 0.1455349, 119.661, 1.702331, 1.469249, 12.06869
 
1.239999, -1, -0.05, 15.26388, 1.297979, 0.5513156080612191823955048468, 7978.588, -545.0803, -1.610494, 0.01663505, 0.1455349, 120.6893, 1.702331, 1.469026, 12.07448
 
1.249999, -1, -0.05999999, 15.38487, 1.299245, 0.5407514839654279827671348468, 8114.398, -545.1628, -1.610494, 0.01663505, 0.1455349, 121.7188, 1.702331, 1.468802, 12.08028
 
1.259999, -1, -0.06999999, 15.50592, 1.300444, 0.5294932777443455724123, 8251.487, -545.2454, -1.610494, 0.01663505, 0.1455349, 122.7495, 1.702331, 1.468579, 12.08608
 
1.269999, -1, -0.07999999, 15.62704, 1.301576, 0.51754969262211187070709, 8389.856, -545.328, -1.610494, 0.01663505, 0.1455349, 123.7812, 1.702331, 1.468355, 12.09188
 
1.279999, -1, -0.08999999, 15.74836, 1.302776, 0.5049274233865297767892551532, 8529.512, -545.4107, -1.610494, 0.01663505, 0.1455349, 124.8142, 1.702331, 1.468132, 12.09767
 
1.289999, -1, -0.09999999, 15.86981, 1.303977, 0.4916342527284148678398248468, 8670.46, -545.4935, -1.610494, 0.01663505, 0.1455349, 125.8484, 1.702331, 1.467908, 12.10347
 
1.299999, -1, -0.11, 15.99133, 1.305111, 0.4776776285992018651010151532, 8812.7, -545.5764, -1.610494, 0.01663505, 0.1455349, 126.8837, 1.702331, 1.467684, 12.10926
 
1.309999, -1, -0.12, 16.11312, 1.306382, 0.46306533368970383520843, 8956.239, -545.6593, -1.610494, 0.01663505, 0.1455349, 127.9202, 1.702331, 1.467461, 12.11506
 
1.319999, -1, -0.13, 16.23491, 1.307517, 0.4478046485816587950713151532, 9101.083, -545.7423, -1.610494, 0.01663505, 0.1455349, 128.9579, 1.702331, 1.467237, 12.12086
 
1.329999, -1, -0.14, 16.35691, 1.308721, 0.43190268648710219932662, 9247.235, -545.8254, -1.610494, 0.01663505, 0.1455349, 129.9968, 1.702331, 1.467014, 12.12665
 
1.339999, -1, -0.15, 16.47904, 1.309925, 0.41536773220594057500276, 9394.698, -545.9086, -1.610494, 0.01663505, 0.1455349, 131.0369, 1.702331, 1.46679, 12.13245
 
1.349999, -1, -0.16, 16.60125, 1.311062, 0.3982060621017358972535348468, 9543.478, -545.9919, -1.610494, 0.01663505, 0.1455349, 132.0783, 1.702331, 1.466567, 12.13825
 
1.359999, -0.9579639, -0.17, 16.72372, 1.312336, 0.38042428727744438674716, 9693.578, -546.0753, -1.610494, 0.01663505, 0.1455349, 133.1208, 1.702331, 1.466343, 12.14404
 
1.369999, -0.9037582, -0.1795796, 16.8462, 1.313475, 0.36204751318731812834121, 9845.002, -546.1586, -1.610494, 0.01663505, 0.1455349, 134.1647, 1.702331, 1.46612, 12.14984
 
1.379999, -0.8466627, -0.1886172, 16.96889, 1.314682, 0.34312251966111902165175, 9997.751, -546.2422, -1.610494, 0.01663505, 0.1455349, 135.2097, 1.702331, 1.465896, 12.15564
 
1.389999, -0.7867981, -0.1970839, 17.09163, 1.315822, 0.3237021118376283954946148468, 10151.83, -546.3257, -1.610494, 0.01663505, 0.1455349, 136.2559, 1.702331, 1.465672, 12.16143
 
1.399999, -0.724292, -0.2049518, 17.21466, 1.317099, 0.3038395969647160179876, 10307.24, -546.4094, -1.610494, 0.01663505, 0.1455349, 137.3034, 1.702331, 1.465449, 12.16723
 
1.409999, -0.6593009, -0.2121948, 17.33768, 1.31824, 0.28359263390231743269417, 10463.99, -546.4931, -1.610494, 0.01663505, 0.1455349, 138.3521, 1.702331, 1.465225, 12.17303
 
1.419999, -0.5919773, -0.2187878, 17.46098, 1.319519, 0.2630170404437270304239451532, 10622.08, -546.5769, -1.610494, 0.01663505, 0.1455349, 139.4021, 1.702331, 1.465002, 12.17882
 
1.429999, -0.5225052, -0.2247075, 17.58421, 1.320593, 0.2421722328306773395701248468, 10781.51, -546.6609, -1.610494, 0.01663505, 0.1455349, 140.4532, 1.702331, 1.464778, 12.18462
 
1.439999, -0.4510689, -0.2299326, 17.70776, 1.321873, 0.22111863152307944082678, 10942.27, -546.7448, -1.610494, 0.01663505, 0.1455349, 141.5055, 1.702331, 1.464554, 12.19042
 
1.449999, -0.3778799, -0.2344433, 17.83132, 1.323017, 0.1999172427747686536293, 11104.38, -546.8289, -1.610494, 0.01663505, 0.1455349, 142.559, 1.702331, 1.464331, 12.19621
 
1.459999, -0.3031472, -0.2382221, 17.95514, 1.324299, 0.17862915652443199697346, 11267.84, -546.913, -1.610494, 0.01663505, 0.1455349, 143.6137, 1.702331, 1.464107, 12.20201
 
1.469999, -0.2271058, -0.2412535, 18.07895, 1.325444, 0.1573165506137741889891651532, 11432.65, -546.9973, -1.610494, 0.01663505, 0.1455349, 144.6696, 1.702331, 1.463884, 12.20781
 
1.479999, -0.1499985, -0.2435246, 18.20296, 1.326659, 0.13604327658144690677262, 11598.8, -547.0815, -1.610494, 0.01663505, 0.1455349, 145.7266, 1.702331, 1.46366, 12.2136
